# frame tid x y w h state(det|pred)
29 6 131.000 69.857 1.000 1.000 pred
29 7 131.000 76.618 1.000 1.000 pred
29 8 120.048 45.915 2.400 2.400 pred
29 9 131.000 70.168 1.000 1.000 pred
29 10 131.000 75.503 1.000 1.000 pred
29 11 124.043 46.624 2.400 2.400 det
29 12 131.000 70.650 1.000 1.000 pred
29 13 131.000 74.357 1.000 1.000 pred
29 14 128.785 46.204 1.702 2.612 pred
29 15 131.000 70.284 1.000 1.000 pred
29 16 131.000 73.220 1.000 1.000 pred
29 17 131.000 45.981 1.000 2.402 pred
29 18 131.000 69.681 1.000 1.000 pred
29 19 131.000 72.070 1.000 1.000 pred
29 20 102.025 108.608 1.000 1.000 pred
29 23 3.349 57.518 1.000 1.000 pred
29 24 5.087 54.387 1.700 3.100 pred
29 25 0.000 55.000 1.000 1.000 pred
